label,text
ham,"Hej YARA, vi är intresserade av att samarbeta!"
ham,"Thank you for your interest, Bryson. 
Looking forward to connecting, Bryson. 
Impressed with your skills, Bryson. 
Excited to discuss further, Bryson. 
Stay tuned for next steps, Bryson."
ham,"Tack, Sarah! Vi är intresserade av att diskutera möjligheter."
ham,"Tack för ditt intresse, Lauren!"
ham,"Tack för ditt intresse, Claire!"
ham,Hi Josephine! Hope all is well. We're impressed with your background and would love to chat about a potential opportunity at Launch Darkly. Are you available for a quick call?
ham,"Hi Landon, just a friendly reminder about our upcoming meeting. Looking forward to connecting with you soon! Best, Carta"
ham,"Hey Johan, we're impressed by your profile! Can we connect to discuss potential opportunities at Nerd Wallet? Thanks!"
ham,"We're impressed with your skills, Lorenzo. Let's talk more about your potential role with us!"
ham,"Tack för ditt intresse, Fatou!"
ham,"Hi Andy, we're interested in discussing a potential collaboration. Could you let us know your availability for a call? Best, Zero Financial"
ham,"Hej Hayden, vi är intresserade av att prata med dig angående en möjlig anställning på Clover Health. Kan vi boka in en tid för ett telefonsamtal? Tack!"
ham,Greetings Philip! Interested in joining our team?
ham,"Hej Yehudis, vi på Opendoor är intresserade av att prata med dig. Kan du kontakta oss angående en potentiell anställning? Tack!"
ham,"Thanks for applying, Sylvia! We're interested in chatting further. Can you share your availability?"
ham,"Thank you for applying, Joseph! We're thrilled to have received your application. Please expect further communication from us soon."
ham,"Hello Mia, we are interested in discussing potential employment opportunities with you at AppNexus."
ham,"Hej Annie, Groove Labs är intresserade av att samarbeta med dig!"
ham,"Hello Riley, thank you for reaching out. We would like to discuss potential employment opportunities with you. Could you please provide us with your contact information and availability for a phone call?"
ham,"Thank you for your application, Isaac."
ham,"Hej Alexander, vi är imponerade av ditt arbete och skulle vilja diskutera en möjlig anställning på Bloc. Kan vi ta en snabb prat?"
ham,"Hej Jazmin, vi är imponerade av din meritlista. Skulle du vara intresserad av att arbeta för Hornblower Cruises?"
ham,"Thank you for your interest, Aubree."
ham,"Hello Shneur, could we chat about a job opportunity?"
ham,"Hi Dylan, 

Just a friendly reminder about the upcoming meeting. See you soon! 

Best, 
Shipt"
ham,"Hej Junior, tack för ditt intresse för Runway Incubator. Vi skulle vilja veta mer om din arbetslivserfarenhet och vad du skulle kunna bidra med i vårt team. Kan du dela med dig av dina tidigare projekt eller arbetsplatser?"
ham,"Hej Joel, tack för att du visade intresse för vår kontaktform. Vi ville bara säga att vi ser fram emot att kontakta dig snart för en uppföljning."
ham,Thank you for applying. We will review your application.
ham,"""Hello Naomi, we have exciting news for you!"""
ham,"Hello Heaven, we are interested in potentially working with you. Would you be open to discussing further?"
ham,"Hej Michelle, 

Vi är imponerade av din erfarenhet och tror att du skulle vara en bra passform för vårt team. 

Vänligen svara med ditt CV och förväntad lön. 

Tack! 

Sibly"
ham,Hi Tiffany! Just wanted to touch base and see if you're still interested in the position at Heap. Let us know!
ham,"Tack för ditt intresse, Nicholas."
ham,Hej Frieda! Vi på AltSchool har hört mycket positivt om dig och skulle vilja diskutera en möjlig anställning med dig. Kan du vänligen kontakta oss så snart som möjligt? Tack!
ham,"Tack för ditt intresse, Manuel! Vi kommer snart att kontakta dig med ett formellt förslag."
ham,"Hello Iris, we're reaching out from Broadcom regarding your recent application. Could you let us know your availability for a quick phone call?"
ham,"Tack för att du visar intresse, Layla! Vi vill gärna diskutera möjligheten till anställning."
ham,"Tack för ditt intresse, Desmond!"
ham,Hej JEAN! Vi är glada att du är intresserad av att ansluta dig till SoloLearn-teamet. Vi ser fram emot att lära känna dig bättre och diskutera möjliga karriärmöjligheter. Vi kommer att kontakta dig snart för att prata mer. Ha en fantastisk dag!
ham,"Hej Christina, vi vill gärna förtydliga några detaljer från Qualys."
ham,"Tack för ditt intresse, Martin. Vänligen fyll i formuläret nedan."
ham,"Thank you for your interest, Jannat. We'll be in touch soon.
"
ham,"Hej Benjamin, vi på Thoughtworks hoppas att du mår bra och ser fram emot att höra från dig snart."
ham,Hej Perl! Jag är intresserad av att kontakta dig angående en potentiell anställning.
ham,"Hej Carina, är du ledig imorgon för att träffas?"
ham,"Hej Kylie, 
Vi är intresserade av att prata med dig angående en möjlig anställd roll på unitQ. Kan du vänligen kontakta oss för att diskutera nästa steg? 
Tack. 
Med vänliga hälsningar, 
[unitQ]"
ham,Hej Aisha! Jag såg ditt fantastiska arbete på Upwork och jag skulle gärna vilja diskutera en potentiell anställning med dig. Kan du kontakta mig så kan vi prata mer? Tack! - Sara
ham,"Hej Elaine, jag är imponerad av ditt CV och skulle vilja prata mer om en potentiell roll hos oss."
ham,"Hej Ashley, tack för ditt intresse för Divvy Homes! Vi skulle gärna vilja veta mer om din erfarenhet och hur du tror att du kan bidra till vårt team. Kan du dela med dig av din CV och eventuella referenser?"
ham,"""Hi Mariam, we'd love to connect with you to discuss exciting opportunities at Alpha Sense. Could you please share your availability for a quick call this week? Thanks!"""
ham,Tack för ditt intresse!
ham,"Good morning Marcus, we're impressed with your qualifications. Can you please share your availability for an interview?"
ham,"Thank you for your interest in Beezwax Datatools, ARMANI. We will be in touch soon!"
ham,"Tack för att du visar intresse, Cameron!"
ham,"Hej Sean! Bara en snabb påminnelse om vårt kommande möte imorgon. Ser fram emot att prata med dig. Ha en bra dag! Mvh, Bolt."
ham,Hi Mariana! We came across your impressive resume and would love to connect.
ham,"Impressed with your skills, Ronan. Keep up the good work!"
ham,"Hej Parker, vi är Criteo och vi skulle vilja erbjuda dig en anställning!"
ham,"""Tack för ditt intresse, Kenneth! Vi vill gärna träffa dig för att diskutera möjligheter."""
ham,"Thank you for your application, Elvis."
ham,"Tack för ditt intresse, Levi. Vi skulle vilja lära känna dig bättre. "
ham,"Hej Daniela, jag hoppas allt är bra med dig! Jag ville bara påminna dig om att vi fortfarande väntar på din svar angående jobbansökan. Ser fram emot att höra från dig snart. Tack!"
ham,"Thank you for your application, Cameron. We are impressed with your qualifications."
ham,"Hej Leila, jag är intresserad av att diskutera en arbetssamarbete. Kan vi sätta upp en tid för ett möte? Tack!"
ham,"Thank you for your interest in EMC Data Domain, Adonis. Let's connect further to discuss potential opportunities."
ham,"Tack för ditt intresse, Robert!"
ham,"Thank you for your interest in our company, Samantha. When are you available for an interview?"
ham,Hello Zaire! Just wanted to reach out and say we're impressed with your experience. Let's chat more about joining our team at Datrium!
ham,Hej Yael! Vi skulle vilja prata med dig angående en möjlig arbetsmöjlighet. Kan du vänligen kontakta oss? Tack!
ham,"Tack för ditt intresse, Alex! 
-------------
Vi rekryterar för en spännande position.
-------------"
ham,"Hey Cora, we love your expertise! Join us at Court Buddy and let's rock the legal world together. Can't wait to discuss details."
